# dataset: GeoCSV 2.0,
# delimiter: ,
# SID: II_PFO_00_BH1,
# sample_count: 2400,
# sample_rate_hz: 20,
# start_time: 2018-09-22T08:19:19.019538Z,
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-09-22T08:19:49.219538Z,-27
2018-09-22T08:19:49.269538Z,-72
2018-09-22T08:19:49.319538Z,-104
2018-09-22T08:19:49.369538Z,-115
2018-09-22T08:19:49.419538Z,-111
2018-09-22T08:19:49.469538Z,-100
2018-09-22T08:19:49.519538Z,-115
2018-09-22T08:19:49.569538Z,-140
2018-09-22T08:19:49.619538Z,-182
2018-09-22T08:19:49.669538Z,-152
2018-09-22T08:19:49.719538Z,-126
2018-09-22T08:19:49.769538Z,-145
2018-09-22T08:19:49.819538Z,-133
2018-09-22T08:19:49.869538Z,-166
2018-09-22T08:19:49.919538Z,-160
2018-09-22T08:19:49.969538Z,-146
2018-09-22T08:19:50.019538Z,-179
2018-09-22T08:19:50.069538Z,-182
2018-09-22T08:19:50.119538Z,-152
2018-09-22T08:19:50.169538Z,-132
2018-09-22T08:19:50.219538Z,-182
2018-09-22T08:19:50.269538Z,-180
2018-09-22T08:19:50.319538Z,-141
2018-09-22T08:19:50.369538Z,-146
2018-09-22T08:19:50.419538Z,-128
2018-09-22T08:19:50.469538Z,-103
2018-09-22T08:19:50.519538Z,-82
2018-09-22T08:19:50.569538Z,-52
2018-09-22T08:19:50.619538Z,-56
2018-09-22T08:19:50.669538Z,-104
2018-09-22T08:19:50.719538Z,-22
2018-09-22T08:19:50.769538Z,27
2018-09-22T08:19:50.819538Z,-29
2018-09-22T08:19:50.869538Z,27
2018-09-22T08:19:50.919538Z,48
2018-09-22T08:19:50.969538Z,50
2018-09-22T08:19:51.019538Z,65
2018-09-22T08:19:51.069538Z,54
2018-09-22T08:19:51.119538Z,88
2018-09-22T08:19:51.169538Z,130
2018-09-22T08:19:51.219538Z,172
2018-09-22T08:19:51.269538Z,183
2018-09-22T08:19:51.319538Z,169
2018-09-22T08:19:51.369538Z,181
2018-09-22T08:19:51.419538Z,226
2018-09-22T08:19:51.469538Z,266
2018-09-22T08:19:51.519538Z,294
2018-09-22T08:19:51.569538Z,323
2018-09-22T08:19:51.619538Z,346
2018-09-22T08:19:51.669538Z,363
2018-09-22T08:19:51.719538Z,403
2018-09-22T08:19:51.769538Z,466
2018-09-22T08:19:51.819538Z,483
2018-09-22T08:19:51.869538Z,513
